,name,conditional_probability,percentile,adjusted_p_value,should accept
183996,escholidine|allocryptopine,0.08333333333333333,0.9054376341521584,0.09176460289322215,False
184228,hydroquinone|piper methysticum,0.0101010101010101,0.47457071309325066,0.02119796564241009,True
184247,hydroquinone|mescaline,0.00041459369817578774,0.06421416646792273,0.005396009230997905,True
184254,hydroquinone|opioids,0.0002671653753673524,0.021851896017171475,0.005396009230997905,True
184333,hydroquinone|nicotine,0.0005096839959225281,0.08096828046744574,0.005396009230997905,True
184392,hydroquinone|serotonin,0.0005022601707684581,0.07393274505127594,0.005396009230997905,True
184408,hydroquinone|marijuana,0.000321853878339234,0.03690674934414501,0.005396009230997905,True
184415,hydroquinone|kavalactones,0.013698630136986302,0.535237300262342,0.0255622412836598,True
184462,hydroquinone|chamomile,0.003891050583657588,0.31573455759599334,0.012283211065143058,True
184463,hydroquinone|MDMA,0.0002181976871045167,0.013146911519198664,0.005396009230997905,True
184652,hydroquinone|benzene,0.0033670033670033673,0.2993381826854281,0.011191315987193912,True
184744,hydroquinone|wormwood,0.001988071570576541,0.23649534939184355,0.00819415436102256,True
184754,hydroquinone|other,0.0014727540500736377,0.19791915096589555,0.007337216446791511,True
184968,thalidomide|nicotine,0.0005096839959225281,0.08096828046744574,0.005396009230997905,True
185468,moonshine|LSD,0.0003518648838845883,0.051126878130217025,0.005396009230997905,True
185473,moonshine|caffeine,0.0006020469596628537,0.10699379918912473,0.005396009230997905,True
185500,moonshine|cocaine,0.0003965107057890563,0.056582399236823275,0.005396009230997905,True
185517,moonshine|mescaline,0.00041459369817578774,0.06421416646792273,0.005396009230997905,True
185524,moonshine|opioids,0.0002671653753673524,0.021851896017171475,0.005396009230997905,True
185556,moonshine|morphine,0.0005753739930955121,0.09292272835678511,0.005396009230997905,True
185603,moonshine|nicotine,0.0005096839959225281,0.08096828046744574,0.005396009230997905,True
185627,moonshine|chlorine,0.0045662100456621,0.3448902933460529,0.013167894581472616,True
185678,moonshine|marijuana,0.000321853878339234,0.03690674934414501,0.005396009230997905,True
185722,moonshine|tequila,0.008264462809917356,0.44270212258526115,0.01863309184674471,True
185733,moonshine|MDMA,0.0002181976871045167,0.013146911519198664,0.005396009230997905,True
185858,moonshine|tryptamine,0.0005931198102016608,0.10010732172668733,0.005396009230997905,True
185919,moonshine|fluoride,0.05555555555555555,0.8677557834486048,0.06389917554366875,False
186024,moonshine|other,0.0014727540500736377,0.19791915096589555,0.007337216446791511,True
186060,antidepressant|oxycodone,0.0077669902912621365,0.43483186262818985,0.01785960531464883,True
186064,antidepressant|tranylcypromine,0.027322404371584702,0.731516813737181,0.0373472996022998,True
