,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
bodywork,5,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,3,1,0,0,1,1,6,0,0,0,1,0,1,0,0
extract,77,29,5,7,24,14,1,17,7,3,7,21,2,3,2,4,37,1,25,8,1,9,10,10,38,12,1,0,15,17,16,43,8
flower,64,24,5,5,23,9,1,11,6,2,7,20,2,0,1,3,22,1,19,7,2,9,9,11,29,8,0,0,11,11,11,39,5
alcohol,76,32,5,8,28,17,1,22,4,3,4,21,4,6,2,5,41,3,27,7,3,8,10,15,44,12,3,0,13,13,15,48,6
meclizine,9,7,0,0,1,3,0,3,2,0,0,2,0,0,0,0,4,0,3,2,0,0,3,0,7,0,0,0,2,1,4,4,0
venom,28,13,0,1,9,3,0,4,2,1,0,6,0,0,0,0,12,0,11,5,1,1,6,0,13,1,0,0,3,2,4,7,1
mate,53,25,2,4,18,10,1,13,4,1,4,15,1,0,1,2,25,1,17,6,1,6,8,8,30,6,1,0,9,6,8,26,5
hci,6,3,1,0,3,4,0,1,1,1,0,1,1,0,0,0,2,0,2,1,0,0,1,2,8,1,0,0,1,0,1,3,0
hcl,37,19,2,6,12,11,1,14,3,1,3,10,3,2,2,2,21,1,14,5,0,4,9,7,23,8,2,0,11,9,8,17,3
eszopiclone,6,7,0,0,2,3,0,2,2,0,0,0,0,0,0,0,7,0,1,0,0,1,2,2,5,1,0,0,2,1,3,1,0
mdea,7,4,0,1,4,0,0,1,1,1,0,0,1,0,0,0,11,1,3,2,0,2,3,0,7,0,0,0,0,0,3,2,0
chloroform,27,15,0,0,8,6,0,8,2,1,1,7,1,1,0,1,13,0,10,5,0,5,6,2,16,2,0,0,3,3,5,8,3
dmae,9,5,0,0,2,4,0,0,0,1,0,1,1,0,0,0,5,0,2,3,0,2,4,0,7,2,0,0,0,0,3,6,0
halothane,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
polistirex,4,5,0,0,2,2,0,0,0,1,0,2,1,1,0,0,3,0,1,1,0,0,2,1,6,0,0,0,3,0,1,3,0
thujone,28,14,1,4,5,8,0,7,1,1,0,4,0,0,0,0,16,1,8,5,0,3,6,0,11,3,1,0,4,8,5,10,3
methaqualone,4,1,0,0,4,0,0,1,0,1,0,0,1,0,0,0,5,1,2,2,0,1,1,0,5,0,0,0,0,0,1,3,0
heroin,60,27,3,6,21,12,0,18,4,3,3,16,2,3,2,4,27,2,19,6,0,10,9,10,36,8,1,0,8,12,9,35,5
